Istanza,DMAX,Metodo,N.POI,Lunghezza percorso (km),Valore di soddisfazione (TOTALE),Tempo di esecuzione (s)
Bench32,20,OPT L.C.,9,19.6855,65,2.983
Bench32,50,OPT L.C.,23,49.99743,190,2.628
Bench32,70,OPT L.C.,28,69.12729,260,0.23
Bench52,20,OPT L.C.,8,18.51443,146,0.218
Bench52,50,OPT L.C.,21,48.50606,313,54.861
Bench52,70,OPT L.C.,27,68.3257,436,37.71
Bench102,20,OPT L.C.,4,18.03276,32,30.497
Bench102,50,OPT L.C.,-,-,-,-
Bench102,70,OPT L.C.,-,-,-,-
Scavi_Archeologici_Pompei_Anfiteatro_Misteri,0.02,OPT L.C.,17,0.01998,45,0.134
Scavi_Archeologici_Pompei_Anfiteatro_Misteri,0.03,OPT L.C.,31,0.02996,102,0.861
Scavi_Archeologici_Pompei_Anfiteatro_Misteri,0.04,OPT L.C.,41,0.0398,130,0.321
Scavi_Archeologici_Pompei_Marina_Misteri,0.02,OPT L.C.,20,0.01973,69,10.212
Scavi_Archeologici_Pompei_Marina_Misteri,0.03,OPT L.C.,33,0.0298,105,22.605
Scavi_Archeologici_Pompei_Marina_Misteri,0.04,OPT L.C.,40,0.03993,128,20.868
Scavi_Archeologici_Pompei_Marina_Anfiteatro,0.02,OPT L.C.,25,0.01982,83,0.155
Scavi_Archeologici_Pompei_Marina_Anfiteatro,0.03,OPT L.C.,36,0.02975,117,0.23
Scavi_Archeologici_Pompei_Marina_Anfiteatro,0.04,OPT L.C.,41,0.03992,130,0.329
Bench32,20,OPT MTZ,9,19.93661,65.0,12.677
Bench32,50,OPT MTZ,19,49.47709,175.0,4.826*
Bench32,70,OPT MTZ,28,69.95678,260.0,92.77
Bench52,20,OPT MTZ,8,18.51443,146.0,0.278
Bench52,50,OPT MTZ,21,48.50606,313.0,45.515**
Bench52,70,OPT MTZ,-,-,-,-
Bench102,20,OPT MTZ,4,18.03276,32.0,6.778
Bench102,50,OPT MTZ,-,-,-,-
Bench102,70,OPT MTZ,-,-,-,-
Scavi_Archeologici_Pompei_Marina_Misteri,0.02,OPT MTZ,21,0.01994,68.0,81.873*
Scavi_Archeologici_Pompei_Marina_Misteri,0.03,OPT MTZ,29,0.02992,96.0,102.885*
Scavi_Archeologici_Pompei_Marina_Misteri,0.04,OPT MTZ,34,0.03836,105.0,2.902*
Scavi_Archeologici_Pompei_Anfiteatro_Misteri,0.02,OPT MTZ,17,0.01983,45.0,0.217
Scavi_Archeologici_Pompei_Anfiteatro_Misteri,0.03,OPT MTZ,31,0.02999,100.0,76.698***
Scavi_Archeologici_Pompei_Anfiteatro_Misteri,0.04,OPT MTZ,38,0.03919,122.0,4.349***
Scavi_Archeologici_Pompei_Marina_Anfiteatro,0.02,OPT MTZ,24,0.01997,83.0,1.454
Scavi_Archeologici_Pompei_Marina_Anfiteatro,0.03,OPT MTZ,36,0.02992,117.0,3.902
Scavi_Archeologici_Pompei_Marina_Anfiteatro,0.04,OPT MTZ,41,0.03992,130.0,78.703

